label,value
"Fri Jun 18 12:30:12 -0400 2010","1"
"Fri Jun 18 12:53:47 -0400 2010","1"
"Fri Jun 18 12:16:03 -0400 2010","1"
"Fri Jun 18 12:11:20 -0400 2010","1"
"Fri Jun 18 12:53:48 -0400 2010","1"
"Fri Jun 18 12:49:05 -0400 2010","1"
"Fri Jun 18 13:12:41 -0400 2010","1"
"Fri Jun 18 12:39:40 -0400 2010","1"
"Fri Jun 18 13:17:25 -0400 2010","1"
"Fri Jun 18 12:11:23 -0400 2010","1"
"Fri Jun 18 12:39:41 -0400 2010","1"
"Fri Jun 18 13:36:17 -0400 2010","1"
"Fri Jun 18 13:36:19 -0400 2010","1"
"Fri Jun 18 13:22:11 -0400 2010","1"
"Fri Jun 18 13:03:19 -0400 2010","1"
"Fri Jun 18 12:53:54 -0400 2010","1"
"Fri Jun 18 12:06:44 -0400 2010","1"
"Fri Jun 18 12:30:20 -0400 2010","1"
"Fri Jun 18 12:53:55 -0400 2010","1"
"Fri Jun 18 13:08:04 -0400 2010","2"
"Fri Jun 18 12:35:03 -0400 2010","1"
"Fri Jun 18 13:31:39 -0400 2010","1"
"Fri Jun 18 13:26:57 -0400 2010","1"
"Fri Jun 18 13:17:31 -0400 2010","4"
"Fri Jun 18 12:11:29 -0400 2010","1"
"Fri Jun 18 12:53:57 -0400 2010","1"
"Fri Jun 18 11:52:38 -0400 2010","1"
"Fri Jun 18 12:20:57 -0400 2010","1"
"Fri Jun 18 13:41:08 -0400 2010","1"
"Fri Jun 18 12:58:42 -0400 2010","1"
"Fri Jun 18 12:58:43 -0400 2010","1"
"Fri Jun 18 12:54:00 -0400 2010","1"
"Fri Jun 18 12:20:59 -0400 2010","1"
"Fri Jun 18 13:36:27 -0400 2010","1"
"Fri Jun 18 13:17:36 -0400 2010","1"
"Fri Jun 18 13:31:45 -0400 2010","1"
"Fri Jun 18 11:57:26 -0400 2010","1"
"Fri Jun 18 13:17:37 -0400 2010","1"
"Fri Jun 18 13:41:12 -0400 2010","1"
"Fri Jun 18 12:30:28 -0400 2010","1"
"Fri Jun 18 12:21:02 -0400 2010","1"
"Fri Jun 18 12:44:37 -0400 2010","2"
"Fri Jun 18 13:12:55 -0400 2010","1"
"Fri Jun 18 13:31:48 -0400 2010","2"
"Fri Jun 18 12:54:05 -0400 2010","1"
"Fri Jun 18 13:22:23 -0400 2010","1"
"Fri Jun 18 11:52:46 -0400 2010","2"
"Fri Jun 18 13:36:32 -0400 2010","1"
"Fri Jun 18 13:03:31 -0400 2010","1"
"Fri Jun 18 12:49:23 -0400 2010","1"
"Fri Jun 18 13:12:58 -0400 2010","1"
"Fri Jun 18 13:31:50 -0400 2010","1"
"Fri Jun 18 12:49:24 -0400 2010","1"
"Fri Jun 18 12:16:23 -0400 2010","1"
"Fri Jun 18 13:36:34 -0400 2010","1"
"Fri Jun 18 12:35:16 -0400 2010","1"
"Fri Jun 18 13:31:55 -0400 2010","1"
"Fri Jun 18 12:11:45 -0400 2010","1"
"Fri Jun 18 12:58:55 -0400 2010","1"
"Fri Jun 18 12:49:30 -0400 2010","1"
"Fri Jun 18 12:16:29 -0400 2010","2"
"Fri Jun 18 12:35:21 -0400 2010","1"
"Fri Jun 18 11:57:37 -0400 2010","2"
"Fri Jun 18 12:44:48 -0400 2010","2"
"Fri Jun 18 13:36:41 -0400 2010","1"
"Fri Jun 18 12:25:57 -0400 2010","1"
"Fri Jun 18 12:21:14 -0400 2010","1"
"Fri Jun 18 12:21:15 -0400 2010","1"
"Fri Jun 18 12:54:17 -0400 2010","1"
"Fri Jun 18 12:40:08 -0400 2010","1"
"Fri Jun 18 13:32:01 -0400 2010","1"
"Fri Jun 18 12:59:00 -0400 2010","1"
"Fri Jun 18 11:57:41 -0400 2010","1"
"Fri Jun 18 11:52:59 -0400 2010","1"
"Fri Jun 18 12:21:17 -0400 2010","1"
"Fri Jun 18 12:40:09 -0400 2010","1"
"Fri Jun 18 12:07:08 -0400 2010","1"
"Fri Jun 18 13:03:44 -0400 2010","1"
"Fri Jun 18 12:59:01 -0400 2010","1"
"Fri Jun 18 13:41:29 -0400 2010","1"
"Fri Jun 18 11:48:17 -0400 2010","2"
"Fri Jun 18 13:13:11 -0400 2010","1"
"Fri Jun 18 11:57:43 -0400 2010","1"
"Fri Jun 18 11:48:18 -0400 2010","1"
"Fri Jun 18 11:48:19 -0400 2010","1"
"Fri Jun 18 12:44:55 -0400 2010","1"
"Fri Jun 18 13:27:22 -0400 2010","1"
"Fri Jun 18 12:54:22 -0400 2010","1"
"Fri Jun 18 11:48:20 -0400 2010","1"
"Fri Jun 18 12:30:47 -0400 2010","1"
"Fri Jun 18 13:32:07 -0400 2010","1"
"Fri Jun 18 13:17:59 -0400 2010","1"
"Fri Jun 18 12:49:41 -0400 2010","1"
"Fri Jun 18 12:07:14 -0400 2010","1"
"Fri Jun 18 13:32:08 -0400 2010","1"
"Fri Jun 18 12:21:24 -0400 2010","1"
"Fri Jun 18 12:49:42 -0400 2010","2"
"Fri Jun 18 13:18:00 -0400 2010","1"
"Fri Jun 18 12:49:43 -0400 2010","1"
"Fri Jun 18 13:36:53 -0400 2010","1"
"Fri Jun 18 12:49:44 -0400 2010","1"
"Fri Jun 18 12:16:43 -0400 2010","1"
"Fri Jun 18 13:08:36 -0400 2010","1"
"Fri Jun 18 13:27:28 -0400 2010","1"
"Fri Jun 18 12:49:45 -0400 2010","1"
"Fri Jun 18 13:41:38 -0400 2010","1"
"Fri Jun 18 12:40:19 -0400 2010","2"
"Fri Jun 18 13:36:55 -0400 2010","1"
"Fri Jun 18 13:03:54 -0400 2010","1"
"Fri Jun 18 12:45:03 -0400 2010","1"
"Fri Jun 18 13:27:30 -0400 2010","1"
"Fri Jun 18 12:26:11 -0400 2010","1"
"Fri Jun 18 12:49:47 -0400 2010","2"
"Fri Jun 18 13:03:56 -0400 2010","1"
"Fri Jun 18 12:45:05 -0400 2010","1"
"Fri Jun 18 12:16:48 -0400 2010","1"
"Fri Jun 18 12:26:14 -0400 2010","1"
"Fri Jun 18 12:45:07 -0400 2010","1"
"Fri Jun 18 13:08:42 -0400 2010","1"
"Fri Jun 18 13:27:34 -0400 2010","1"
"Fri Jun 18 12:49:51 -0400 2010","1"
"Fri Jun 18 12:45:08 -0400 2010","1"
"Fri Jun 18 13:08:43 -0400 2010","1"
"Fri Jun 18 13:04:00 -0400 2010","1"
"Fri Jun 18 12:02:41 -0400 2010","1"
"Fri Jun 18 12:54:34 -0400 2010","1"
"Fri Jun 18 11:53:15 -0400 2010","1"
"Fri Jun 18 12:16:51 -0400 2010","1"
"Fri Jun 18 13:04:01 -0400 2010","1"
"Fri Jun 18 12:26:17 -0400 2010","1"
"Fri Jun 18 12:21:36 -0400 2010","1"
"Fri Jun 18 12:45:11 -0400 2010","2"
"Fri Jun 18 12:02:44 -0400 2010","1"
"Fri Jun 18 13:22:55 -0400 2010","1"
"Fri Jun 18 11:53:18 -0400 2010","1"
"Fri Jun 18 11:48:36 -0400 2010","1"
"Fri Jun 18 12:07:28 -0400 2010","1"
"Fri Jun 18 12:12:12 -0400 2010","1"
"Fri Jun 18 12:26:21 -0400 2010","1"
"Fri Jun 18 13:22:57 -0400 2010","1"
"Fri Jun 18 13:32:24 -0400 2010","1"
"Fri Jun 18 12:21:39 -0400 2010","1"
"Fri Jun 18 12:45:15 -0400 2010","2"
"Fri Jun 18 12:21:40 -0400 2010","1"
"Fri Jun 18 13:04:08 -0400 2010","1"
"Fri Jun 18 11:58:06 -0400 2010","1"
"Fri Jun 18 12:54:42 -0400 2010","1"
"Fri Jun 18 13:23:00 -0400 2010","1"
"Fri Jun 18 12:16:59 -0400 2010","1"
"Fri Jun 18 11:48:42 -0400 2010","1"
"Fri Jun 18 13:27:45 -0400 2010","1"
"Fri Jun 18 12:21:43 -0400 2010","1"
"Fri Jun 18 11:48:43 -0400 2010","1"
"Fri Jun 18 12:59:28 -0400 2010","1"
"Fri Jun 18 12:26:27 -0400 2010","1"
"Fri Jun 18 12:21:44 -0400 2010","1"
"Fri Jun 18 12:45:20 -0400 2010","1"
"Fri Jun 18 13:37:13 -0400 2010","1"
"Fri Jun 18 12:31:11 -0400 2010","1"
"Fri Jun 18 12:54:46 -0400 2010","2"
"Fri Jun 18 13:23:04 -0400 2010","1"
"Fri Jun 18 13:18:22 -0400 2010","1"
"Fri Jun 18 12:17:03 -0400 2010","1"
"Fri Jun 18 13:13:40 -0400 2010","1"
"Fri Jun 18 13:37:15 -0400 2010","1"
"Fri Jun 18 13:04:14 -0400 2010","1"
"Fri Jun 18 12:31:13 -0400 2010","1"
"Fri Jun 18 13:27:49 -0400 2010","1"
"Fri Jun 18 13:23:07 -0400 2010","1"
"Fri Jun 18 12:12:22 -0400 2010","1"
"Fri Jun 18 13:32:33 -0400 2010","1"
"Fri Jun 18 11:53:30 -0400 2010","1"
"Fri Jun 18 12:12:23 -0400 2010","1"
"Fri Jun 18 13:32:34 -0400 2010","1"
"Fri Jun 18 13:23:08 -0400 2010","1"
"Fri Jun 18 13:13:43 -0400 2010","1"
"Fri Jun 18 12:12:24 -0400 2010","1"
"Fri Jun 18 13:32:35 -0400 2010","1"
"Fri Jun 18 12:26:33 -0400 2010","1"
"Fri Jun 18 13:23:09 -0400 2010","1"
"Fri Jun 18 13:13:44 -0400 2010","1"
"Fri Jun 18 13:04:18 -0400 2010","1"
"Fri Jun 18 11:58:16 -0400 2010","1"
"Fri Jun 18 12:21:51 -0400 2010","1"
"Fri Jun 18 13:04:19 -0400 2010","2"
"Fri Jun 18 12:21:52 -0400 2010","1"
"Fri Jun 18 12:40:45 -0400 2010","1"
"Fri Jun 18 12:36:02 -0400 2010","1"
"Fri Jun 18 13:32:38 -0400 2010","2"
"Fri Jun 18 12:21:53 -0400 2010","1"
"Fri Jun 18 11:53:36 -0400 2010","1"
"Fri Jun 18 12:45:29 -0400 2010","1"
"Fri Jun 18 13:09:04 -0400 2010","1"
"Fri Jun 18 12:07:45 -0400 2010","1"
"Fri Jun 18 13:18:30 -0400 2010","2"
"Fri Jun 18 13:42:06 -0400 2010","1"
"Fri Jun 18 12:12:29 -0400 2010","1"
"Fri Jun 18 12:36:04 -0400 2010","1"
"Fri Jun 18 13:27:57 -0400 2010","1"
"Fri Jun 18 12:03:04 -0400 2010","1"
"Fri Jun 18 12:21:56 -0400 2010","1"
"Fri Jun 18 12:45:32 -0400 2010","1"
"Fri Jun 18 13:09:08 -0400 2010","1"
"Fri Jun 18 12:07:49 -0400 2010","1"
"Fri Jun 18 13:23:17 -0400 2010","1"
"Fri Jun 18 12:21:58 -0400 2010","1"
"Fri Jun 18 13:18:34 -0400 2010","1"
"Fri Jun 18 13:04:28 -0400 2010","1"
"Fri Jun 18 12:26:44 -0400 2010","1"
"Fri Jun 18 11:53:43 -0400 2010","1"
"Fri Jun 18 11:49:00 -0400 2010","1"
"Fri Jun 18 12:31:28 -0400 2010","1"
"Fri Jun 18 13:18:39 -0400 2010","1"
"Fri Jun 18 13:37:32 -0400 2010","1"
"Fri Jun 18 11:58:29 -0400 2010","1"
"Fri Jun 18 13:09:15 -0400 2010","1"
"Fri Jun 18 13:37:33 -0400 2010","1"
"Fri Jun 18 12:07:56 -0400 2010","1"
"Fri Jun 18 13:28:07 -0400 2010","1"
"Fri Jun 18 12:55:06 -0400 2010","1"
"Fri Jun 18 13:23:24 -0400 2010","1"
"Fri Jun 18 13:13:59 -0400 2010","1"
"Fri Jun 18 12:12:41 -0400 2010","1"
"Fri Jun 18 13:09:17 -0400 2010","1"
"Fri Jun 18 12:03:15 -0400 2010","1"
"Fri Jun 18 12:50:25 -0400 2010","1"
"Fri Jun 18 13:18:43 -0400 2010","1"
"Fri Jun 18 12:41:00 -0400 2010","1"
"Fri Jun 18 13:32:53 -0400 2010","1"
"Fri Jun 18 12:17:25 -0400 2010","1"
"Fri Jun 18 13:09:18 -0400 2010","1"
"Fri Jun 18 12:41:01 -0400 2010","1"
"Fri Jun 18 13:09:19 -0400 2010","1"
"Fri Jun 18 12:36:19 -0400 2010","1"
"Fri Jun 18 12:36:20 -0400 2010","1"
"Fri Jun 18 13:04:38 -0400 2010","1"
"Fri Jun 18 12:26:54 -0400 2010","1"
"Fri Jun 18 12:22:12 -0400 2010","1"
"Fri Jun 18 12:50:30 -0400 2010","1"
"Fri Jun 18 13:18:48 -0400 2010","1"
"Fri Jun 18 12:12:47 -0400 2010","1"
"Fri Jun 18 12:31:39 -0400 2010","1"
"Fri Jun 18 12:22:13 -0400 2010","1"
"Fri Jun 18 13:04:41 -0400 2010","1"
"Fri Jun 18 12:12:48 -0400 2010","1"
"Fri Jun 18 12:41:06 -0400 2010","1"
"Fri Jun 18 11:58:39 -0400 2010","1"
"Fri Jun 18 12:26:57 -0400 2010","1"
"Fri Jun 18 13:33:00 -0400 2010","1"
"Fri Jun 18 12:03:23 -0400 2010","1"
"Fri Jun 18 13:23:34 -0400 2010","1"
"Fri Jun 18 12:22:15 -0400 2010","1"
"Fri Jun 18 13:14:09 -0400 2010","1"
"Fri Jun 18 13:37:44 -0400 2010","2"
"Fri Jun 18 12:50:34 -0400 2010","1"
"Fri Jun 18 12:45:51 -0400 2010","1"
"Fri Jun 18 13:04:44 -0400 2010","1"
"Fri Jun 18 13:28:19 -0400 2010","1"
"Fri Jun 18 11:53:59 -0400 2010","1"
"Fri Jun 18 11:58:43 -0400 2010","1"
"Fri Jun 18 12:45:53 -0400 2010","1"
"Fri Jun 18 12:50:37 -0400 2010","1"
"Fri Jun 18 13:09:29 -0400 2010","1"
"Fri Jun 18 13:33:04 -0400 2010","1"
"Fri Jun 18 13:00:03 -0400 2010","1"
"Fri Jun 18 11:54:01 -0400 2010","1"
"Fri Jun 18 13:18:56 -0400 2010","1"
"Fri Jun 18 12:55:22 -0400 2010","1"
"Fri Jun 18 12:22:21 -0400 2010","1"
"Fri Jun 18 13:14:14 -0400 2010","1"
"Fri Jun 18 12:08:13 -0400 2010","1"
"Fri Jun 18 13:33:07 -0400 2010","1"
"Fri Jun 18 12:22:23 -0400 2010","1"
"Fri Jun 18 12:41:15 -0400 2010","1"
"Fri Jun 18 13:28:26 -0400 2010","2"
"Fri Jun 18 12:03:33 -0400 2010","1"
"Fri Jun 18 12:17:42 -0400 2010","1"
"Fri Jun 18 12:46:00 -0400 2010","1"
"Fri Jun 18 13:14:18 -0400 2010","1"
"Fri Jun 18 13:09:36 -0400 2010","1"
"Fri Jun 18 12:22:26 -0400 2010","1"
"Fri Jun 18 12:50:44 -0400 2010","1"
"Fri Jun 18 12:08:18 -0400 2010","1"
"Fri Jun 18 11:58:52 -0400 2010","1"
"Fri Jun 18 12:17:44 -0400 2010","2"
"Fri Jun 18 12:08:19 -0400 2010","1"
"Fri Jun 18 13:28:30 -0400 2010","1"
"Fri Jun 18 13:14:21 -0400 2010","1"
"Fri Jun 18 13:04:56 -0400 2010","1"
"Fri Jun 18 13:19:05 -0400 2010","1"
"Fri Jun 18 12:46:04 -0400 2010","1"
"Fri Jun 18 13:19:06 -0400 2010","1"
"Fri Jun 18 12:08:22 -0400 2010","1"
"Fri Jun 18 12:03:39 -0400 2010","1"
"Fri Jun 18 11:54:13 -0400 2010","1"
"Fri Jun 18 12:08:24 -0400 2010","1"
"Fri Jun 18 13:00:17 -0400 2010","1"
"Fri Jun 18 12:46:08 -0400 2010","1"
"Fri Jun 18 13:09:43 -0400 2010","1"
"Fri Jun 18 12:32:01 -0400 2010","2"
"Fri Jun 18 12:32:02 -0400 2010","1"
"Fri Jun 18 13:00:20 -0400 2010","1"
"Fri Jun 18 13:38:04 -0400 2010","1"
"Fri Jun 18 13:09:47 -0400 2010","1"
"Fri Jun 18 12:03:46 -0400 2010","1"
"Fri Jun 18 12:55:39 -0400 2010","1"
"Fri Jun 18 13:19:14 -0400 2010","1"
"Fri Jun 18 13:42:49 -0400 2010","1"
"Fri Jun 18 13:09:48 -0400 2010","1"
"Fri Jun 18 12:32:05 -0400 2010","2"
"Fri Jun 18 13:00:23 -0400 2010","1"
"Fri Jun 18 12:27:22 -0400 2010","1"
"Fri Jun 18 12:55:40 -0400 2010","1"
"Fri Jun 18 12:50:58 -0400 2010","2"
"Fri Jun 18 13:19:16 -0400 2010","1"
"Fri Jun 18 13:14:33 -0400 2010","1"
"Fri Jun 18 12:32:07 -0400 2010","1"
"Fri Jun 18 13:28:43 -0400 2010","2"
"Fri Jun 18 12:22:41 -0400 2010","1"
"Fri Jun 18 13:38:09 -0400 2010","1"
"Fri Jun 18 12:08:32 -0400 2010","1"
"Fri Jun 18 12:03:50 -0400 2010","1"
"Fri Jun 18 12:41:34 -0400 2010","1"
"Fri Jun 18 13:05:10 -0400 2010","1"
"Fri Jun 18 12:32:09 -0400 2010","1"
"Fri Jun 18 11:54:25 -0400 2010","1"
"Fri Jun 18 12:46:18 -0400 2010","1"
"Fri Jun 18 13:19:20 -0400 2010","1"
"Fri Jun 18 13:05:12 -0400 2010","1"
"Fri Jun 18 12:32:11 -0400 2010","1"
"Fri Jun 18 12:27:28 -0400 2010","1"
"Fri Jun 18 12:27:29 -0400 2010","1"
"Fri Jun 18 12:22:46 -0400 2010","1"
"Fri Jun 18 12:51:04 -0400 2010","1"
"Fri Jun 18 12:32:13 -0400 2010","1"
"Fri Jun 18 12:22:47 -0400 2010","1"
"Fri Jun 18 13:19:23 -0400 2010","1"
"Fri Jun 18 13:42:58 -0400 2010","1"
"Fri Jun 18 12:36:56 -0400 2010","1"
"Fri Jun 18 12:32:14 -0400 2010","1"
"Fri Jun 18 12:46:23 -0400 2010","1"
"Fri Jun 18 12:41:41 -0400 2010","1"
"Fri Jun 18 13:09:59 -0400 2010","1"
"Fri Jun 18 13:28:52 -0400 2010","1"
"Fri Jun 18 13:28:54 -0400 2010","1"
"Fri Jun 18 12:27:35 -0400 2010","2"
"Fri Jun 18 12:18:09 -0400 2010","1"
"Fri Jun 18 12:41:44 -0400 2010","1"
"Fri Jun 18 12:08:43 -0400 2010","1"
"Fri Jun 18 12:27:36 -0400 2010","1"
"Fri Jun 18 13:05:21 -0400 2010","2"
"Fri Jun 18 13:00:39 -0400 2010","1"
"Fri Jun 18 12:51:13 -0400 2010","1"
"Fri Jun 18 12:08:46 -0400 2010","1"
"Fri Jun 18 12:37:04 -0400 2010","1"
"Fri Jun 18 13:05:22 -0400 2010","1"
"Fri Jun 18 12:55:57 -0400 2010","1"
"Fri Jun 18 13:19:32 -0400 2010","1"
"Fri Jun 18 13:05:23 -0400 2010","1"
"Fri Jun 18 12:55:58 -0400 2010","1"
"Fri Jun 18 11:54:39 -0400 2010","1"
"Fri Jun 18 13:10:07 -0400 2010","1"
"Fri Jun 18 13:05:24 -0400 2010","1"
"Fri Jun 18 13:05:25 -0400 2010","1"
"Fri Jun 18 13:10:08 -0400 2010","1"
"Fri Jun 18 13:33:43 -0400 2010","1"
"Fri Jun 18 12:32:25 -0400 2010","1"
"Fri Jun 18 13:29:01 -0400 2010","1"
"Fri Jun 18 12:51:17 -0400 2010","1"
"Fri Jun 18 12:18:16 -0400 2010","1"
"Fri Jun 18 12:37:08 -0400 2010","1"
"Fri Jun 18 12:23:00 -0400 2010","2"
"Fri Jun 18 12:51:18 -0400 2010","1"
"Fri Jun 18 12:27:44 -0400 2010","1"
"Fri Jun 18 11:54:43 -0400 2010","1"
"Fri Jun 18 12:23:01 -0400 2010","1"
"Fri Jun 18 13:05:29 -0400 2010","1"
"Fri Jun 18 12:56:04 -0400 2010","2"
"Fri Jun 18 12:56:05 -0400 2010","1"
"Fri Jun 18 13:19:40 -0400 2010","1"
"Fri Jun 18 13:38:32 -0400 2010","1"
"Fri Jun 18 13:24:24 -0400 2010","2"
"Fri Jun 18 11:54:47 -0400 2010","1"
"Fri Jun 18 12:18:22 -0400 2010","1"
"Fri Jun 18 13:05:32 -0400 2010","1"
"Fri Jun 18 11:54:48 -0400 2010","1"
"Fri Jun 18 13:19:42 -0400 2010","1"
"Fri Jun 18 13:38:34 -0400 2010","1"
"Fri Jun 18 13:24:26 -0400 2010","1"
"Fri Jun 18 13:19:43 -0400 2010","1"
"Fri Jun 18 11:54:50 -0400 2010","1"
"Fri Jun 18 12:46:43 -0400 2010","1"
"Fri Jun 18 13:24:28 -0400 2010","1"
"Fri Jun 18 11:54:51 -0400 2010","1"
"Fri Jun 18 13:19:45 -0400 2010","1"
"Fri Jun 18 12:13:43 -0400 2010","1"
"Fri Jun 18 13:19:46 -0400 2010","1"
"Fri Jun 18 13:05:37 -0400 2010","1"
"Fri Jun 18 13:33:55 -0400 2010","2"
"Fri Jun 18 13:24:30 -0400 2010","1"
"Fri Jun 18 12:23:11 -0400 2010","1"
"Fri Jun 18 12:46:46 -0400 2010","1"
"Fri Jun 18 13:43:22 -0400 2010","1"
"Fri Jun 18 13:38:39 -0400 2010","1"
"Fri Jun 18 13:05:38 -0400 2010","1"
"Fri Jun 18 12:04:19 -0400 2010","1"
"Fri Jun 18 11:59:37 -0400 2010","1"
"Fri Jun 18 13:38:40 -0400 2010","1"
"Fri Jun 18 11:59:38 -0400 2010","1"
"Fri Jun 18 12:27:56 -0400 2010","1"
